objectid,title,date,baketype,description,ingredients,difficulty,preptime,baketime,totaltime,equipment,source,creator,reflection,rating,subject,file,format,rights,datecreated,relation
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
bread-001,sourdough croissant bread,2026-02-21,bread,buttery sourdough loaf with flaky layers inspired by croissants,sourdough starter; bread flour; water; salt; unsalted butter,advanced,60,45,1440,oven; dutch oven; mixing bowl; kitchen scale; banneton,amy bakes bread,amy coyne,really interesting technique with the butter incorporation. layers turned out flaky but process was time-intensive. would watch dough temperature more carefully next time,3,sourdough; laminated; bread; buttery,bread-001.jpg,image/jpeg,image © adelina pineda canganelli; recipe adapted from original source,2026-04-23,
cupcake-002,lemon blueberry cupcakes,2026-03-20,cupcake,soft and fluffy lemon cupcakes filled with fresh blueberries and topped with cream cheese frosting,flour; sugar; butter; eggs; milk; lemon zest; lemon juice; blueberries; baking powder; cream cheese; powdered sugar,intermediate,20,20,160,oven; muffin tin; mixer; mixing bowl; zester,sally's baking addiction,sally mckenney,"really bright and fresh flavor. texture was soft and moist, but needed careful mixing to avoid density. frosting balanced the tartness well",4,lemon; blueberry; cupcake; fruit; dessert,cupcake-002.jpg,image/jpeg,image © adelina pineda canganelli; recipe adapted from original source,2026-04-23,
bread-002,nutella babka,2026-03-03,bread,"rich, buttery yeast bread swirled with nutella and topped with cinnamon crumble",milk; yeast; sugar; butter; eggs; flour; salt; nutella; cinnamon,advanced,160,50,220,oven; stand mixer; loaf pan; rolling pin,sally's baking addiction,sally mckenney,"shaping was more challenging than expected but turned out really beautiful. dough was soft and rich, and the layers came out well. would roll thinner next time for more defined swirls",5,chocolate; bread; yeast; layered; dessert,bread-002.jpg,image/jpeg,image © adelina pineda canganelli; recipe adapted from original source,2026-04-23,
bread-003,jewish rye bread,2026-02-08,bread,"traditional deli-style rye bread with a tangy sour, chewy crumb, and caraway flavor",rye flour; bread flour; sourdough starter; yeast; water; salt; caraway seeds; stale bread,advanced,50,45,995,oven; stand mixer; mixing bowl; baking stone; parchment paper,king arthur baking company,barb alpern,"process was more complex than expected with the rye sour and soaker, but flavor was excellent. dough was very sticky and tricky to handle. would plan timing more carefully next time",5,rye; bread; sourdough; traditional; savory,bread-003.jpg,image/jpeg,image © adelina pineda canganelli; recipe adapted from original source,2026-04-23,
cookie-001,chocolate madeleines,2026-04-21,cookie,"delicate shell-shaped sponge cakes with chocolate flavor and a light, airy texture",butter; sugar; eggs; flour; cocoa powder; vanilla; salt,beginner,20,10,30,oven; madeleine pan; mixing bowl,king arthur baking company,odette williams,batter was simple but technique mattered for the rise and shell shape. texture was light but timing was important to avoid overbaking,4,chocolate; cookie; french; light; tea,cookie-001.jpg,image/jpeg,image © adelina pineda canganelli; recipe adapted from original source,2026-04-23,
cupcake-001,pistachio cupcakes with strawberry frosting,2026-01-24,cupcake,soft pistachio cupcakes topped with creamy strawberry frosting,pistachios; flour; sugar; butter; eggs; milk; baking powder; strawberries; powdered sugar,intermediate,30,20,50,oven; muffin tin; food processor; hand mixer,sally's baking addiction,sally mckenney,flavor combination was really nice but texture required careful mixing. frosting was slightly sweet but balanced by pistachio,4,pistachio; cupcake; fruit; spring; dessert,cupcake-001.jpg,image/jpeg,image © adelina pineda canganelli; recipe adapted from original source,2026-04-23,
cake-003,sourdough chocolate cake with peanut butter frosting,2025-12-06,cake,rich chocolate cake made with sourdough starter and topped with creamy peanut butter frosting,sourdough starter; flour; cocoa powder; sugar; eggs; butter; baking soda; milk; peanut butter; powdered sugar,advanced,40,35,75,oven; mixing bowl; cake pan; hand mixer; jar,original recipe,adelina pineda canganelli,sourdough added depth of flavor and slight tang. cake was moist but required balancing acidity. frosting paired well but was rich,5,chocolate; sourdough; cake; peanut butter; rich,cake-003.jpg,image/jpeg,image and recipe © adelina pineda canganelli ,2026-04-23,
bread-004,sourdough with sun-dried tomato and gruyere,2026-04-11,bread,savory sourdough loaf with tangy tomato flavor and melted gruyere throughout,sourdough starter; bread flour; water; salt; sun-dried tomatoes; gruyere cheese,advanced,30,45,900,oven; dutch oven; mixing bowl; banneton,original recipe,adelina pineda canganelli,really flavorful and savory. inclusions made shaping slightly harder but result was worth it. would distribute fillings more evenly next time,5,sourdough; savory; bread; cheese; tomato,bread-004.jpg,image/jpeg,image and recipe © adelina pineda canganelli,2026-04-23,
cake-004,dobos torte,2026-02-07,cake,layered sponge cake with chocolate buttercream and caramel topping,eggs; sugar; flour; butter; cocoa powder; chocolate; caramel,advanced,60,40,100,oven; cake pans; saucepan; offset spatula,allrecipes,kevin ryan,layering and caramel work were challenging but final result looked impressive. caramel required careful attention to avoid burning,4,layered; chocolate; cake; caramel; traditional,cake-004.jpg,image/jpeg,image © adelina pineda canganelli; recipe adapted from original source,2026-04-23,
cake-005,peanut butter cheesecake,2026-04-11,cake,"rich and creamy peanut butter cheesecake with a smooth, dense texture and chocolate crust",cream cheese; peanut butter; sugar; eggs; sour cream; chocolate cookies; butter; vanilla,intermediate,40,60,360,oven; springform pan; hand mixer; mixing bowl,handle the heat,tessa arias,very rich and smooth with strong peanut butter flavor. texture turned out great but required careful baking and cooling to avoid cracks. recommend steam rather than water bath,5,peanut butter; cheesecake; rich; dessert; chocolate,cake-005.jpg,image/jpeg,image © adelina pineda canganelli; recipe adapted from original source,2026-04-23,
bar-002,sopapilla cheesecake pie,2025-11-02,bar,creamy cheesecake filling layered between crescent dough and topped with cinnamon sugar and honey,cream cheese; sugar; eggs; vanilla; crescent dough; butter; cinnamon; honey,beginner,15,35,50,oven; 9x13 pan; mixing bowl; hand mixer,allrecipes,user CandleB,very easy to assemble and beginner-friendly. texture was creamy with a slightly flaky crust. sweetness was high but balanced by cinnamon,5,cheesecake; easy; cinnamon; dessert; bar,bar-002.jpg,image/jpeg,image © adelina pineda canganelli; recipe adapted from original source,2026-04-23,
pastry-001,homemade eclairs,2025-08-20,pastry,classic french choux pastry filled with pastry cream and topped with chocolate ganache,milk; butter; flour; eggs; sugar; cornstarch; vanilla; heavy cream; chocolate,intermediate,30,35,105,oven; saucepan; piping bag; baking sheet; mixing bowl,sally's baking addiction,sally mckenney,technique was more manageable than expected but required careful attention to dough consistency and baking. filling and assembly were slightly tricky but final result felt very rewarding,4,pastry; chocolate; french; choux; dessert,pastry-001.jpg,image/jpeg,image © adelina pineda canganelli; recipe adapted from original source,2026-04-23,
bread-005,pretzel buns,2026-03-04,bread,"soft and pillowy buns with a chewy, salty pretzel-style crust",flour; yeast; water; butter; sugar; salt; baking soda,beginner,20,22,122,oven; mixing bowl; baking sheet; large pot,jessie bakes treats,jessie m,"easier than shaping traditional pretzels but still required attention during boiling step. crust turned out chewy with good flavor, interior was soft",4,bread; pretzel; savory; sandwich; yeast,bread-005.jpg,image/jpeg,image © adelina pineda canganelli; recipe adapted from original source,2026-04-23,
cookie-002,blueberry lemon whoopie pies,2025-07-30,cookie,soft cake-like cookies filled with tangy lemon cream cheese frosting and fresh blueberries,flour; sugar; butter; eggs; milk; blueberries; baking powder; baking soda; cream cheese; lemon zest; lemon juice,beginner,60,15,75,oven; baking sheet; mixer; mixing bowl,food network,food network kitchen,cookies were soft and cakey with a nice balance of blueberry and lemon. assembly was slightly messy but final result tasted fresh and bright,5,blueberry; lemon; cookie; sandwich; dessert,cookie-002.jpg,image/jpeg,image © adelina pineda canganelli; recipe adapted from original source,2026-04-23,
bread-006,japanese milk bread,2026-04-04,bread,"soft, fluffy sandwich bread made using the tangzhong method for a tender, slightly sweet crumb",bread flour; milk; water; sugar; salt; yeast; egg; butter,intermediate,30,35,205,oven; stand mixer; loaf pan; saucepan; mixing bowl,king arthur baking company,charlotte rutledge,dough was very soft and slightly sticky but came together with enough kneading. bread turned out very fluffy and tender. tangzhong step added complexity but improved texture significantly,5,bread; milk bread; tangzhong; soft; sandwich,bread-006.jpg,image/jpeg,image © adelina pineda canganelli; recipe adapted from original source,2026-04-23,